id,name,father_name,tehsil,income,land_holding_ha,category,expected_status
1,Ram Meena,Shyam Jat,Phagi,309877,0.88,Ineligible,STATUS_REJECTED
2,Om Devi,Geeta Jat,Bassi,160915,0.67,Eligible,STATUS_AUTO_APPROVE
3,Govind Meena,Govind Yadav,Jamwa Ramgarh,107263,0.38,Eligible,STATUS_AUTO_APPROVE
4,Anita,Suresh Singh,Bassi,88051,0.88,Fuzzy,STATUS_FIELD_VERIFICATION
5,Sunita Jat,Om Kumar,Bassi,181598,1.47,Eligible,STATUS_AUTO_APPROVE
6,Anita Devi,Sunita Devi,Jamwa Ramgarh,70142,1.76,Eligible,STATUS_AUTO_APPROVE
7,Suresh,Anita Jat,Jamwa Ramgarh,115051,0.31,Fuzzy,STATUS_FIELD_VERIFICATION
8,Govind Sharma,Suresh Devi,Bassi,73324,1.11,Eligible,STATUS_AUTO_APPROVE
9,Shyam,Sunita Jat,Phagi,125067,1.82,Fuzzy,STATUS_FIELD_VERIFICATION
10,Anita Singh,Ram Devi,Jamwa Ramgarh,291145,1.07,Ineligible,STATUS_REJECTED
11,Ram,Govind Kumar,Jamwa Ramgarh,132322,0.39,Fuzzy,STATUS_FIELD_VERIFICATION
12,Govind Yadav,Shyam Sharma,Bassi,170553,1.81,Eligible,STATUS_AUTO_APPROVE
13,Anita,Sita Yadav,Jamwa Ramgarh,96256,1.49,Fuzzy,STATUS_FIELD_VERIFICATION
14,Anita Meena,Ramesh Meena,Phagi,126497,0.35,Eligible,STATUS_AUTO_APPROVE
15,Geeta,Sunita Kumar,Phagi,132670,1.17,Fuzzy,STATUS_FIELD_VERIFICATION
16,Geeta Yadav,Ram Singh,Jamwa Ramgarh,368298,1.08,Ineligible,STATUS_REJECTED
17,Anita Meena,Suresh Singh,Bassi,167010,1.73,Eligible,STATUS_AUTO_APPROVE
18,Om Devi,Ram Devi,Jamwa Ramgarh,112996,0.31,Eligible,STATUS_AUTO_APPROVE
19,Om Devi,Ramesh Jat,Jamwa Ramgarh,180940,4.61,Ineligible,STATUS_REJECTED
20,Anita Kumar,Geeta Jat,Jamwa Ramgarh,72301,0.99,Eligible,STATUS_AUTO_APPROVE
21,Om Sharma,Govind Singh,Phagi,169125,0.63,Eligible,STATUS_AUTO_APPROVE
22,Anita Kumar,Sita Meena,Jamwa Ramgarh,116515,0.24,Eligible,STATUS_AUTO_APPROVE
23,Ram Singh,Ram Devi,Phagi,52364,3.9,Ineligible,STATUS_REJECTED
24,Sita,Govind Singh,Jamwa Ramgarh,173786,0.18,Fuzzy,STATUS_FIELD_VERIFICATION
25,Om,Suresh Kumar,Phagi,124283,0.79,Fuzzy,STATUS_FIELD_VERIFICATION
26,Shyam Yadav,Sita Sharma,Phagi,120339,1.65,Eligible,STATUS_AUTO_APPROVE
27,Sita,Suresh Singh,Bassi,189770,0.22,Fuzzy,STATUS_FIELD_VERIFICATION
28,Om,Govind Singh,Jamwa Ramgarh,171853,0.28,Fuzzy,STATUS_FIELD_VERIFICATION
29,Om,Ram Meena,Bassi,127773,1.52,Fuzzy,STATUS_FIELD_VERIFICATION
30,Shyam Sharma,Om Sharma,Jamwa Ramgarh,125460,0.4,Eligible,STATUS_AUTO_APPROVE
31,Sita,Shyam Devi,Phagi,90624,1.08,Fuzzy,STATUS_FIELD_VERIFICATION
32,Anita Sharma,Anita Jat,Phagi,76502,0.83,Eligible,STATUS_AUTO_APPROVE
